Food Name,Category Name,Calories,Carbs,Fats,Fiber,Protein,Sugar,Density
Lime,Fruits,30,11,0.2,2.8,0.7,1.7,0
Lychee,Fruits,66,17,0.44,1.3,0.83,15,0
Loganberries,Fruits,55,13,0.31,5.3,1.5,7.7,0
Longan,Fruits,60,15,0.1,1.1,1.3,8.95,0
Loquat,Fruits,47,12,0.2,1.7,0.43,8.95,0
Mango,Fruits,60,15,0.38,1.6,0.82,14,0
Purple mangosteen,Fruits,73,18,0.58,1.8,0.41,8.95,0
Cantaloupe,Fruits,34,8.2,0.19,0.9,0.84,7.9,0
Melon,Fruits,28,6.6,0.1,0.9,1.1,5.7,0
Honeydew,Fruits,36,9.1,0.14,0.8,0.54,8.1,0
Mulberry,Fruits,43,9.8,0.39,1.7,1.4,8.1,0
Nectarine,Fruits,44,11,0.32,1.7,1.1,7.9,0
Orange,Fruits,47,12,0.12,2.4,0.94,9.4,0
Mandarin orange,Fruits,53,13,0.31,1.8,0.81,11,0
Papaya,Fruits,43,11,0.26,1.7,0.47,7.8,0
Passion fruit,Fruits,97,23,0.7,10,2.2,11,0
Peach,Fruits,39,9.5,0.25,1.5,0.91,8.4,0
Pear,Fruits,57,15,0.14,3.1,0.36,9.8,0
Persimmon,Fruits,127,34,0.4,3.6,0.8,8.95,0
Pineapple,Fruits,50,13,0.12,1.4,0.54,9.9,0
Pitanga (Surinam cherry),Fruits,33,7.5,0.4,1.8,0.8,8.95,0
Plantain,Fruits,116,31,0.18,2.3,0.79,14,0
Plum,Fruits,46,11,0.28,1.4,0.7,9.9,0
Pomegranate,Fruits,83,19,1.2,4,1.7,14,0
Prickly pear,Fruits,41,9.6,0.51,3.6,0.73,8.95,0
Prunes,Fruits,240,64,0.38,7.1,2.2,38,0
Pomelo,Fruits,38,9.6,0.04,1,0.76,8.95,0
Quince,Fruits,57,15,0.1,1.9,0.4,8.95,0
Raisin,Fruits,299,79,0.46,3.7,3.1,59,0
Rambutan,Fruits,82,21,0.21,0.9,0.65,8.95,0
Raspberry,Fruits,52,12,0.65,6.5,1.2,4.4,0
Roselle,Fruits,49,11,0.64,2.5,0.96,8.95,0
Rose apple,Fruits,25,5.7,0.3,2.6,0.6,8.95,0
Sapodilla,Fruits,83,20,1.1,5.3,0.44,8.95,0
Mamey Sapote,Fruits,124,32,0.46,5.4,1.5,20,0
Soursop,Fruits,66,17,0.3,3.3,1,14,0
Strawberry,Fruits,32,7.7,0.3,2,0.67,4.9,0
Tamarind,Fruits,239,63,0.6,5.1,2.8,39,0
Watermelon,Fruits,30,7.6,0.15,0.4,0.61,6.2,0
Maraschino cherry,Fruits,165,42,0.21,3.2,0.22,39,0
Feijoa,Fruits,61,15,0.42,6.4,0.71,8.2,0
Asian pear,Fruits,42,11,0.23,3.6,0.5,7.1,0
Sour cherry,Fruits,42,10,0.21,1.2,0.69,7,0
Durian,Fruits,147,27,5.3,3.8,1.5,8.95,0
Crateva religiosa,Fruits,69,18,0.1,5.3,1.5,8.6,0
Clementine,Fruits,47,12,0.15,1.7,0.85,9.2,0
Nance,Fruits,73,17,1.2,7.5,0.66,8.3,0
Naranjilla,Fruits,25,5.9,0.22,1.1,0.44,3.7,0
Horned melon,Fruits,44,7.6,1.3,2.6,1.8,8.95,0
Coconut,Fruits,354,15,33,9,3.3,6.2,0
Cloudberry,Fruits,51,8.6,0.8,2.6,2.4,8.95,0
Huckleberries,Fruits,37,8.7,0.1,2.6,0.4,8.95,0
Banana melon,Fruits,21,4.1,0.2,0.3,0.84,3.4,0
Salmonberries,Fruits,47,10,0.33,1.9,0.85,3.7,0
Chokecherries,Fruits,156,34,0.98,17,2.9,14,0
Rose hip,Fruits,162,38,0.34,24,1.6,2.6,0
Artichoke,Vegetables,47,11,0.15,5.4,3.3,0.99,0
Asparagus,Vegetables,47,9.2,0.1,2.1,2.5,2.4,0
"Bitter gourd (Momordica charantia, bitter melon, balsam pear)",Vegetables,30,3.3,0.69,2.35,5.3,2.4,0
Bamboo shoot,Vegetables,27,5.2,0.3,2.2,2.6,3,0
Green bean,Vegetables,35,7.9,0.28,3.2,1.9,3.6,0
Beetroot,Vegetables,43,9.6,0.17,2.8,1.6,6.8,0
Broad bean,Vegetables,62,10,0.5,3.6,4.8,2.4,0
Broccoli,Vegetables,34,6.6,0.37,2.6,2.8,1.7,0
Brussels sprout,Vegetables,43,9,0.3,3.8,3.4,2.2,0
Burdock root,Vegetables,72,17,0.15,3.3,1.5,2.9,0
Cabbage,Vegetables,25,5.8,0.1,2.5,1.3,3.2,0
Red cabbage,Vegetables,31,7.4,0.16,2.1,1.4,3.8,0
Savoy cabbage,Vegetables,27,6.1,0.1,3.1,2,2.3,0
Chinese cabbage,Vegetables,13,2.2,0.2,1,1.5,1.2,0
Carrot,Vegetables,41,9.6,0.24,2.8,0.93,4.7,0
Cassava,Vegetables,160,38,0.28,1.8,1.4,1.7,0
Cauliflower,Vegetables,25,5,0.28,2,1.9,1.9,0
Celeriac,Vegetables,42,9.2,0.3,1.8,1.5,1.6,0
Celtuce,Vegetables,18,3.7,0.3,1.7,0.85,2.4,0
Chayote,Vegetables,19,4.5,0.13,1.7,0.82,1.7,0
Chicory,Vegetables,17,4,0.1,3.1,0.9,2.4,0
Corn,Vegetables,96,21,1.5,2.4,3.4,4.5,0
Yardlong beans,Vegetables,47,9.2,0.1,2.35,2.5,2.4,0
Cucumber,Vegetables,15,3.6,0.11,0.5,0.65,1.7,0
Eggplant,Vegetables,25,5.9,0.18,3,0.98,3.5,0
Edamame,Vegetables,121,8.9,5.2,5.2,12,2.2,0
Endive,Vegetables,17,3.4,0.2,3.1,1.3,0.25,0
Garlic,Vegetables,149,33,0.5,2.1,6.4,1,0
Ginger,Vegetables,80,18,0.75,2,1.8,1.7,0
Jerusalem artichoke,Vegetables,73,17,0.01,1.6,2,9.6,0
Kanpyo,Vegetables,258,65,0.56,9.8,8.6,2.4,0
Kohlrabi,Vegetables,27,6.2,0.1,3.6,1.7,2.6,0
Lotus root,Vegetables,74,17,0.1,4.9,2.6,2.4,0
Red leaf lettuce,Vegetables,16,2.3,0.22,0.9,1.3,0.48,0
Okra,Vegetables,33,7.5,0.19,3.2,1.9,1.5,0
Onion,Vegetables,40,9.3,0.1,1.7,1.1,4.2,0
Sweet onion,Vegetables,32,7.6,0.08,0.9,0.8,5,0
Onion rings,Vegetables,276,34,14,2.2,4.1,5.1,0
Parsnip,Vegetables,75,18,0.3,4.9,1.2,4.8,0
Pea,Vegetables,84,16,0.22,5.5,5.4,5.9,0
Bell pepper,Vegetables,20,4.6,0.17,1.7,0.86,2.4,0
Russet potato,Vegetables,97,21,0.13,2.3,2.6,1.1,0
Red potato,Vegetables,89,20,0.15,1.8,2.3,1.4,0
Pumpkin flowers,Vegetables,15,3.3,0.07,2.35,1,2.4,0
Pumpkin,Vegetables,20,4.9,0.07,1.1,0.72,2.1,0
Radish,Vegetables,16,3.4,0.1,1.6,0.68,1.9,0
Daikon,Vegetables,18,4.1,0.1,1.6,0.6,2.5,0
Rutabagas,Vegetables,37,8.6,0.16,2.3,1.1,4.5,0
Salsify,Vegetables,68,15,0.17,3.1,2.7,2.9,0
Sauerkraut,Vegetables,19,4.3,0.14,2.9,0.91,1.8,0
Seaweed,Vegetables,43,9.6,0.56,1.3,1.7,0.6,0
Nori,Vegetables,35,5.1,0.28,0.3,5.8,0.49,0
Zucchini,Vegetables,17,3.1,0.32,1,1.2,2.5,0
Sweet potato,Vegetables,90,21,0.15,3.3,2,6.5,0
Taro,Vegetables,112,26,0.2,4.1,1.5,0.4,0
Tomato,Vegetables,18,3.9,0.2,1.2,0.88,2.6,0
Turnip,Vegetables,28,6.4,0.1,1.8,0.9,3.8,0
Turnip greens,Vegetables,20,4.4,0.23,3.5,1.1,0.53,0
Vegetable,Vegetables,65,13,0.15,4.4,2.9,3.1,0
Water chestnuts,Vegetables,97,24,0.1,3,1.4,4.8,0
Winter melon,Vegetables,13,3,0.2,2.9,0.4,2.4,0
Wax gourd,Vegetables,14,3,0.2,1,0.4,1.2,0
Yam,Vegetables,116,27,0.14,3.9,1.5,0.49,0
Jícama (yam bean),Vegetables,38,8.8,0.09,2.35,0.72,2.4,0
Summer squash,Vegetables,16,3.4,0.18,1.1,1.2,2.2,0
Winter squash,Vegetables,37,8.9,0.35,2.8,0.89,3.3,0
Agar,Vegetables,306,81,0.3,7.7,6.2,3,0
Spirulina,Vegetables,26,2.4,0.39,0.4,5.9,0.3,0
Wakame,Vegetables,45,9.1,0.64,0.5,3,0.65,0
Chili Pepper,Vegetables,40,9.5,0.2,1.5,2,5.1,0
Potato,Vegetables,93,21,0.13,2.2,2.5,1.2,0
Shallot,Vegetables,72,17,0.1,3.2,2.5,7.9,0
Arrowroot,Vegetables,65,13,0.2,1.3,4.2,2.4,0
Chili pepper,Vegetables,40,8.8,0.44,1.5,1.9,5.3,0
Pickled cucumber,Vegetables,11,2.3,0.2,1.2,0.33,1.1,0
Pimiento,Vegetables,23,5.1,0.3,1.9,1.1,2.7,0
Radicchio,Vegetables,23,4.5,0.25,0.9,1.4,0.6,0
Tomatillo,Vegetables,32,5.8,1,1.9,0.96,3.9,0
Sun-dried tomato,Vegetables,213,23,14,5.8,5.1,2.4,0
Fennel,Vegetables,31,7.3,0.2,3.1,1.2,3.9,0
Hearts of palm,Vegetables,28,4.6,0.62,2.4,2.5,2.4,0
Nopales,Vegetables,41,9.6,0.51,3.6,0.73,2.4,0
Chinese broccoli,Vegetables,22,3.8,0.72,2.5,1.1,0.84,0
Napa cabbage,Vegetables,12,2.2,0.17,2.35,1.1,2.4,0
Poblano,Vegetables,281,51,8.2,22,12,2.4,0
Jalapeño,Vegetables,29,6.5,0.37,2.8,0.91,4.1,0
Pasilla peppers,Vegetables,345,51,16,27,12,2.4,0
Mexican tea,Vegetables,32,7.4,0.52,3.8,0.33,2.4,0
Yautia,Vegetables,98,24,0.4,1.5,1.5,2.4,0
Fiddlehead ferns,Vegetables,34,5.5,0.4,2.35,4.6,2.4,0
Cod liver oil,Seafood,902,0,100,0,0,0,0
Anchovy,Seafood,131,0,4.8,0,20,0,0
Carp,Seafood,162,0,7.2,0,23,0,0
Caviar,Seafood,264,4,18,0,25,0,0
Cod,Seafood,105,0,0.86,0,23,0,0
Croaker,Seafood,221,7.5,13,0.4,18,0,0
Eel,Seafood,236,0,15,0,24,0,0
Fish sticks,Seafood,277,22,16,1.5,11,1.7,0
Flatfish,Seafood,86,0,2.4,0,15,0,0
Gefilte fish,Seafood,84,7.4,1.7,0,9.1,0,0
Grouper fish,Seafood,118,0,1.3,0,25,0,0
Haddock,Seafood,90,0,0.55,0,20,0,0
Herring,Seafood,203,0,12,0,23,0,0
Mackerel,Seafood,262,0,18,0,24,0,0
Mullet fish,Seafood,150,0,4.9,0,25,0,0
Perch,Seafood,117,0,1.2,0,25,0,0
Alaska pollock,Seafood,111,0,1.2,0,23,0,0
Pompano,Seafood,211,0,12,0,24,0,0
Rockfish,Seafood,109,0,1.6,0,22,0,0
Smoked salmon,Seafood,117,0,4.3,0,18,0,0
Sockeye salmon,Seafood,156,0,5.6,0,26,0,0
Sardine,Seafood,208,0,11,0,25,0,0
Shark,Seafood,228,6.4,14,0,19,0,0
Sheepshead,Seafood,126,0,1.6,0,26,0,0
Smelt,Seafood,124,0,3.1,0,23,0,0
Snapper,Seafood,128,0,1.7,0,26,0,0
Sturgeon,Seafood,135,0,5.2,0,21,0,0
Surimi,Seafood,99,6.9,0.9,0,15,0,0
Swordfish,Seafood,172,0,7.9,0,23,0,0
Tilefish,Seafood,147,0,4.7,0,24,0,0
Tuna salad,Seafood,187,9.4,9.3,0,16,0,0
Whiting,Seafood,116,0,1.7,0,23,0,0
Crab meat,Seafood,97,0,1.5,0,19,0,0
Crab stick,Seafood,95,15,0.46,0.5,7.6,6.3,0
Crab,Seafood,83,0,0.74,0,18,0,0
Crayfish,Seafood,82,0,1.2,0,17,0,0
Lobster,Seafood,89,0,0.86,0,19,0,0
Shrimp,Seafood,119,1.5,1.7,0,23,0,0
Abalone,Seafood,189,11,6.8,0,20,0,0
Clam,Seafood,148,5.1,2,0,26,0,0
Cuttlefish,Seafood,79,0.82,0.7,0,16,0,0
Mussels,Seafood,172,7.4,4.5,0,24,0,0
Oysters,Seafood,102,5.5,3.4,0,11,1.2,0
Whelk,Seafood,275,16,0.8,0,48,0,0
Bass,Seafood,124,0,3,0,23,0,0
Bluefish,Seafood,159,0,5.4,0,26,0,0
Burbot,Seafood,115,0,1,0,25,0,0
Butterfish,Seafood,187,0,10,0,22,0,0
Mahimahi,Seafood,109,0,0.9,0,24,0,0
Drum fish,Seafood,153,0,6.3,0,22,0,0
Halibut,Seafood,239,0,18,0,18,0,0
Ling fish,Seafood,111,0,0.82,0,24,0,0
Lingcod,Seafood,109,0,1.4,0,23,0,0
Milkfish,Seafood,190,0,8.6,0,26,0,0
Monkfish,Seafood,97,0,2,0,19,0,0
Pacific saury,Seafood,119,0,1.6,0,25,0,0
Roe,Seafood,204,1.9,8.2,0,29,0,0
Sablefish,Seafood,250,0,20,0,17,0,0
Chinook salmon,Seafood,231,0,13,0,26,0,0
Scup,Seafood,135,0,3.5,0,24,0,0
Seatrout,Seafood,133,0,4.6,0,21,0,0
Shad,Seafood,252,0,18,0,22,0,0
Sucker fish,Seafood,119,0,3,0,21,0,0
Sunfish,Seafood,114,0,0.9,0,25,0,0
Skipjack tuna,Seafood,132,0,1.3,0,28,0,0
Tuna,Seafood,130,0,0.59,0,29,0,0
Turbot,Seafood,122,0,3.8,0,21,0,0
Whitefish,Seafood,172,0,7.5,0,24,0,0
Wolffish,Seafood,123,0,3.1,0,22,0,0
Yellowtail,Seafood,187,0,6.7,0,30,0,0
Squid,Seafood,158,1.6,1.4,0,32,0,0
Octopus,Seafood,164,4.4,2.1,0,30,0,0
Orange roughy,Seafood,105,0,0.9,0,23,0,0
Catfish,Seafood,144,0,7.2,0,18,0,0
Salmon,Seafood,206,0,12,0,22,0,0
Trout,Seafood,168,0,7.4,0,24,0,0
Tilapia,Seafood,128,0,2.7,0,26,0,0
Cockles,Seafood,79,4.7,0.7,0,14,0,0
Devilfish,Seafood,97,0,5.3,0,12,0,0
Pike,Seafood,156,4.3,8,0,17,0,0
Sea cucumber,Seafood,56,0,0.4,0,13,0,0
Steelhead trout,Seafood,159,0,8.3,0,21,0,0
Scallop,Seafood,111,5.4,0.84,0,21,0,0
Blue cheese,Dairy,353,2.3,29,0,21,0.5,0
Brie,Dairy,334,0.45,28,0,21,0.45,0
Camembert,Dairy,300,0.46,24,0,20,0.46,0
Cheese,Dairy,404,3.1,33,0,23,0.48,0
Cottage cheese,Dairy,98,3.4,4.3,0,11,2.7,0
Cream cheese,Dairy,350,5.5,34,0,6.2,3.8,0
Edam,Dairy,357,1.4,28,0,25,1.4,0
Feta,Dairy,264,4.1,21,0,14,4.1,0
Fontina,Dairy,389,1.6,31,0,26,1.6,0
Brunost,Dairy,466,43,30,0,9.7,1.5,0
Gouda cheese,Dairy,356,2.2,27,0,25,2.2,0
Gruyere cheese,Dairy,413,0.36,32,0,30,0.36,0
Limburger,Dairy,327,0.49,27,0,20,0.49,0
Monterey Jack,Dairy,373,0.68,30,0,24,0.5,0
Muenster cheese,Dairy,368,1.1,30,0,23,1.1,0
Neufchâtel cheese,Dairy,253,3.6,23,0,9.2,3.2,0
Port Salut,Dairy,352,0.57,28,0,24,0.57,0
Provolone,Dairy,351,2.1,27,0,26,0.56,0
Ricotta,Dairy,174,3,13,0,11,0.27,0
Romano cheese,Dairy,387,3.6,27,0,32,0.73,0
Roquefort,Dairy,369,2,31,0,22,1.5,0
Swiss cheese,Dairy,393,1.4,31,0,27,0,0
Tilsit cheese,Dairy,340,1.9,26,0,24,1.5,0
Whipped cream,Dairy,257,12,22,0,3.2,8,0
Eggnog,Dairy,88,8.1,4.2,0,4.6,8.1,0
Milk,Dairy,42,5,0.97,0,3.4,5.2,0
Buttermilk,Dairy,40,4.8,0.88,0,3.3,4.8,0
Condensed milk,Dairy,321,54,8.7,0,7.9,54,0
Chocolate milk,Dairy,83,10,3.4,0.8,3.2,9.5,0
Hot chocolate,Dairy,77,11,2.3,1,3.5,9.7,0
Goat milk,Dairy,69,4.5,4.1,0,3.6,4.5,0
Milkshake,Dairy,112,18,3,0,3.9,18,0
Whey,Dairy,27,5.1,0.36,0,0.85,5.1,0
Egg white,Dairy,52,0.73,0.17,0,11,0.71,0
Yolk,Dairy,322,3.6,27,0,16,0.56,0
Egg,Dairy,155,1.1,11,0,13,1.1,0
Omelette,Dairy,154,0.64,12,0,11,0.31,0
Duck egg,Dairy,185,1.5,14,0,13,0.93,0
Goose egg,Dairy,185,1.4,13,0,14,0.94,0
Quail egg,Dairy,158,0.41,11,0,13,0.4,0
Turkey egg,Dairy,171,1.2,12,0,14,1.5,0
Butter,Dairy,717,0.06,81,0,0.85,0.06,0
Goat cheese,Dairy,364,0.12,30,0,22,0.12,0
Mexican Cheese queso chihuahua,Dairy,374,5.6,30,0,22,5.6,0
Sour cream,Dairy,181,7,14,0,7,0.3,0
Parmigiano-Reggiano,Dairy,265,1.4,20,0,20,0,0
Powdered milk,Dairy,496,38,27,0,26,38,0
Dulce de Leche,Dairy,315,55,7.4,0,6.8,50,0
Soft serve,Dairy,222,22,13,0.7,4.1,21,0
Ice cream sandwich,Dairy,237,37,8.6,0,4.3,19,0
American cheese,Dairy,371,3.7,32,0,18,2.3,0
Yogurt,Dairy,59,3.6,0.39,0,10,3.2,0
Cotija cheese,Dairy,366,4,30,0,20,0,0
Kefir,Dairy,41,4.5,0.93,0,3.8,4.6,0
Greek yogurt,Dairy,97,4,5,0,9,4,0
Ice cream sundae cone,Dairy,254,29,14,1,3,21,0
Coconut milk,Dairy,230,5.5,24,2.2,2.3,3.3,0
Mozzarella,Dairy,280,3.1,17,0,28,1.2,0
Shiitake,Mushrooms,34,6.8,0.49,2.5,2.2,2.4,0
Chanterelle,Mushrooms,38,6.9,0.53,3.8,1.5,1.2,0
True morels,Mushrooms,31,5.1,0.57,2.8,3.1,0.6,0
Portobello,Mushrooms,29,4.4,0.58,2.2,3.3,2.3,0
Edible mushroom,Mushrooms,22,3.3,0.34,1,3.1,2,0
Enoki mushrooms,Mushrooms,37,7.8,0.29,2.7,2.7,0.22,0
Truffle,Mushrooms,284,73,0.73,70,9.3,2,0
Maitake mushrooms,Mushrooms,31,7,0.19,2.7,1.9,2.1,0
Porridge,Grains,50,11,0.21,0.5,1.4,0.03,0
Oatmeal,Grains,68,12,1.4,1.7,2.4,0.46,0
Cereal,Grains,378,87,1.1,1.4,6.1,10,0
Chia seeds,Grains,486,42,31,34,17,0.55,0
Sesame,Grains,573,23,50,12,18,0.3,0
Sunflower seed,Grains,584,20,51,8.6,21,2.6,0
Pumpkin seed,Grains,446,54,19,18,19,0.55,0
Flax seeds,Grains,534,29,42,27,18,1.6,0
Adzuki bean,Grains,128,25,0.1,7.3,7.5,0.55,0
Baked beans,Grains,155,22,5.2,5.5,5.5,0.55,0
Black turtle bean,Grains,130,24,0.35,8.3,8.2,0.32,0
Cranberry beans,Grains,136,24,0.46,8.6,9.3,0.55,0
French beans,Grains,129,24,0.76,9.4,7.1,0.55,0
Great northern beans,Grains,118,21,0.45,7,8.3,0.55,0
Kidney beans,Grains,127,23,0.5,6.4,8.7,0.32,0
Navy beans,Grains,140,26,0.62,11,8.2,0.37,0
Pinto beans,Grains,143,26,0.65,9,9,0.34,0
Yellow beans,Grains,144,25,1.1,10,9.2,0.34,0
White beans,Grains,139,25,0.35,6.3,9.7,0.34,0
Fava beans,Grains,110,20,0.4,5.4,7.6,1.8,0
Chickpeas,Grains,164,27,2.6,7.6,8.9,4.8,0
Cowpea (Black-eyed pea),Grains,116,21,0.53,6.5,7.7,3.3,0
Lablab,Grains,117,21,0.58,6,8.1,0.55,0
Lentil,Grains,116,20,0.38,7.9,9,1.8,0
Lima bean,Grains,115,21,0.38,7,7.8,2.9,0
Lupin Bean,Grains,119,9.9,2.9,2.8,16,0.55,0
Mothbeans,Grains,117,21,0.55,6,7.8,0.55,0
Mung beans,Grains,105,19,0.38,7.6,7,2,0
Cellophane noodles,Grains,351,86,0.06,0.5,0.16,0,0
Black gram,Grains,105,18,0.55,6.4,7.5,2,0
Pigeon pea,Grains,121,23,0.38,6.7,6.8,0.55,0
Refried beans,Grains,90,14,2,3.7,5,0.54,0
Soybean,Grains,172,8.4,9,6,18,3,0
Natto,Grains,211,13,11,5.4,19,4.9,0
Tempeh,Grains,192,7.6,11,6,20,0.55,0
Soybean meal,Grains,337,36,2.4,6,49,0.55,0
Okara,Grains,76,12,1.7,6,3.5,0.55,0
Winged beans,Grains,147,15,5.8,6,11,0.55,0
Falafel,Grains,333,32,18,6,13,0.55,0
Chickpea flour (besan),Grains,387,58,6.7,11,22,11,0
Hummus,Grains,166,14,9.6,6,7.9,0.55,0
Soy yogurt,Grains,66,9.7,1.8,0.4,2.6,5.3,0
Tofu,Grains,144,2.8,8.7,2.3,17,0.55,0
Wheat Bread,Grains,313,56,4.3,4.7,13,6.4,0
Amaranth grain,Grains,102,19,1.6,2.1,3.8,0.55,0
Groat,Grains,343,72,3.4,10,13,0.55,0
Buckwheat,Grains,92,20,0.62,2.7,3.4,0.9,0
Cornmeal,Grains,370,79,1.8,3.9,7.1,1.6,0
Couscous,Grains,112,23,0.16,1.4,3.8,0.1,0
Millet,Grains,119,24,1,1.3,3.5,0.13,0
Brown rice,Grains,123,26,0.97,1.6,2.7,0.24,0
Oat,Grains,389,66,6.9,11,17,0.55,0
Rice,Grains,130,28,0.28,0.4,2.7,0.05,0
Arborio rice,Grains,130,29,0.19,6,2.4,0.55,0
Glutinous rice,Grains,97,21,0.19,1,2,0.05,0
Rye,Grains,338,76,1.6,15,10,0.98,0
Flour,Grains,364,76,0.98,2.7,10,0.27,0
Pasta,Grains,131,25,1.1,6,5.2,0.55,0
Noodles,Grains,138,25,2.1,1.2,4.5,0.4,0
Soba,Grains,99,21,0.1,6,5.1,0.55,0
Khorasan wheat,Grains,337,71,2.1,11,15,7.8,0
Spaghetti,Grains,158,31,0.93,1.8,5.8,0.56,0
Semolina,Grains,374,81,1,1.8,7.5,0.33,0
Spätzle,Grains,138,25,2.1,1.2,4.5,0.4,0
Papadum,Grains,371,60,3.3,19,26,0,0
Bean,Grains,105,20,0.4,5.5,4.8,7.8,0
Tofu yogurt,Grains,94,16,1.8,0.2,3.5,1.2,0
Wheat gluten,Grains,370,14,1.9,0.6,75,0,0
Chicken meat,Meat,239,0,14,0,27,0,0
Chicken gizzard,Meat,154,0,2.7,0,30,0,0
Chicken heart,Meat,153,0.71,9.3,0,16,0,0
Chicken liver,Meat,119,0.73,4.8,0,17,0,0
Chicken breast,Meat,187,0.51,4.7,0,33,0,0
Chicken neck,Meat,297,0,26,0,14,0,0
Chicken thigh,Meat,218,1.2,10,0,28,0,0
Chicken wing,Meat,324,11,22,0.3,20,0,0
Duck meat,Meat,337,0,28,0,19,0,0
Domestic goose,Meat,238,0,13,0,29,0,0
Quail meat,Meat,192,0,12,0,20,0,0
Turkey meat,Meat,189,0.06,7.4,0,29,0,0
Turkey neck,Meat,125,0,6,0,17,0,0
Turkey breast,Meat,157,0,7,0,22,0,0
Turkey leg,Meat,144,0,6.7,0,20,0,0
Turkey wing,Meat,197,0,12,0,20,0,0
Foie gras,Meat,462,4.7,44,0,11,0,0
Ground turkey,Meat,203,0,10,0,27,0,0
Ground chicken,Meat,189,0,11,0,23,0,0
Chicken feet,Meat,215,0.2,15,0,19,0,0
Fajita,Meat,135,2.2,5.7,0,19,0,0
Barbecue chicken,Meat,226,0.12,15,0,23,0.12,0
Turkey ham,Meat,118,3.1,4,0,16,1.2,0
Ostrich,Meat,145,0,2.6,0,28,0,0
Blood sausage,Meat,379,1.3,35,0,15,1.3,0
Bockwurst,Meat,301,3,26,1,14,1.3,0
Bologna sausage,Meat,247,0.73,20,0,15,0,0
Braunschweiger,Meat,327,3.1,29,0,15,0,0
Chorizo,Meat,455,1.9,38,0,24,0,0
Headcheese,Meat,157,0,11,0,14,0,0
Knackwurst,Meat,307,3.2,28,0,11,0,0
Leberkäse,Meat,304,2.1,26,0,15,0,0
Roast beef,Meat,115,0.64,3.7,0,19,0.29,0
Luncheon meat,Meat,189,1,13,0,18,0,0
Mortadella,Meat,311,3.1,25,0,16,0,0
Chicken liver pate,Meat,201,6.6,13,0,13,0,0
Pâté,Meat,319,1.5,28,0,14,0,0
Pepperoni,Meat,504,1.2,46,0,19,0,0
Salami,Meat,336,2.4,26,0,22,0.96,0
Cervelat,Meat,362,3.3,30,0,17,0.85,0
Vienna sausage,Meat,230,2.6,19,0,11,0,0
Italian sausage,Meat,344,4.3,27,0.1,19,1.9,0
Turkey bacon,Meat,226,1.9,17,0,16,0,0
Liverwurst,Meat,305,5.9,25,2.5,12,1.7,0
Polish sausage,Meat,259,3.6,19,0,18,0,0
Summer sausage,Meat,426,1.8,38,0.2,19,0.12,0
Turkey sausage,Meat,235,1.6,18,0,15,0,0
Bratwurst,Meat,297,2,26,0,12,0,0
Kielbasa,Meat,226,3.9,18,0,13,0,0
Scrapple,Meat,213,14,14,0.3,8.1,0.2,0
Meatball,Meat,286,8.1,22,2.3,14,3.5,0
Pork belly,Meat,518,0,53,0,9.3,0,0
Pork leg,Meat,245,0,19,0,17,0,0
Pork loin,Meat,198,0,13,0,20,0,0
Pork,Meat,242,0,14,0,27,0,0
Pork chop,Meat,231,0,14,0,24,0,0
Pork shoulder,Meat,236,0,18,0,17,0,0
